,n_steps
532,5.0
533,11.0
534,8.0
535,12.0
536,12.0
537,9.0
538,25.0
539,10.0
540,9.0
541,12.0
542,16.0
543,15.0
544,17.0
545,14.0
546,8.0
547,15.0
548,20.0
549,19.0
550,6.0
551,7.0
552,18.0
553,18.0
554,12.0
555,3.0
556,19.0
557,13.0
558,4.0
559,5.0
560,10.0
561,31.0
562,10.0
563,4.0
564,8.0
565,5.0
566,15.0
567,19.0
568,13.0
569,21.0
570,6.0
571,2.0
572,6.0
573,10.0
574,16.0
575,8.0
576,20.0
577,11.0
578,11.0
579,17.0
580,10.0
581,16.0
582,9.0
583,7.0
584,19.0
585,5.0
586,6.0
587,7.0
588,1.0
589,11.0
590,7.0
591,8.0
592,8.0
593,23.0
594,32.0
595,40.0
596,2.0
597,7.0
598,18.0
599,5.0
600,7.0
601,15.0
602,14.0
603,12.0
604,7.0
605,6.0
606,5.0
607,14.0
608,3.0
609,8.0
610,3.0
611,6.0
612,9.0
613,10.0
614,4.0
615,2.0
616,7.0
617,8.0
618,10.0
619,7.0
620,4.0
621,7.0
622,2.0
623,2.0
624,11.0
625,7.0
626,8.0
627,18.0
628,7.0
629,29.0
630,9.0
631,9.0
632,9.0
633,2.0
634,8.0
635,5.0
636,13.0
637,4.0
638,17.0
639,14.0
640,4.0
641,45.0
642,9.0
643,6.0
644,13.0
645,20.0
646,11.0
647,4.0
648,10.0
649,4.0
650,3.0
651,6.0
652,15.0
653,5.0
654,12.0
655,10.0
656,6.0
657,18.0
658,1.0
659,16.0
660,13.0
661,5.0
662,8.0
663,4.0
664,7.0
665,10.0
666,44.0
667,8.0
668,4.0
669,19.0
670,25.0
671,10.0
672,5.0
673,8.0
674,3.0
675,21.0
676,5.0
677,43.0
678,5.0
679,10.0
680,8.0
681,2.0
682,16.0
683,9.0
684,5.0
685,2.0
686,4.0
687,12.0
688,12.0
689,16.0
690,12.0
691,4.0
692,6.0
693,3.0
694,5.0
695,20.0
696,2.0
697,6.0
698,14.0
699,3.0
700,9.0
701,14.0
702,4.0
703,10.0
704,8.0
705,6.0
706,10.0
707,5.0
708,4.0
709,1.0
710,6.0
711,10.0
712,8.0
713,3.0
714,9.0
715,8.0
716,12.0
717,8.0
718,19.0
719,23.0
720,7.0
721,7.0
722,21.0
723,17.0
724,13.0
725,21.0
726,1.0
727,11.0
728,12.0
