,n_steps
6781,14.0
6782,9.0
6783,10.0
6784,11.0
6785,4.0
6786,12.0
6787,7.0
6788,14.0
6789,17.0
6790,5.0
6791,23.0
6792,28.0
6793,8.0
6794,9.0
6795,42.0
6796,22.0
6797,6.0
6798,7.0
6799,9.0
6800,3.0
6801,4.0
6802,20.0
6803,13.0
6804,24.0
6805,22.0
6806,8.0
6807,11.0
6808,9.0
6809,22.0
6810,11.0
6811,15.0
6812,8.0
6813,22.0
6814,26.0
6815,4.0
6816,15.0
6817,10.0
6818,10.0
6819,14.0
6820,7.0
6821,5.0
6822,20.0
6823,19.0
6824,9.0
6825,11.0
6826,16.0
6827,15.0
6828,7.0
6829,9.0
6830,24.0
6831,20.0
6832,8.0
6833,17.0
6834,8.0
6835,9.0
6836,13.0
6837,18.0
6838,17.0
6839,15.0
6840,20.0
6841,10.0
6842,27.0
6843,21.0
6844,13.0
6845,11.0
6846,6.0
6847,5.0
6848,4.0
6849,10.0
6850,4.0
6851,6.0
6852,11.0
6853,18.0
6854,5.0
6855,9.0
6856,18.0
6857,13.0
6858,14.0
6859,11.0
6860,15.0
6861,5.0
6862,7.0
6863,15.0
6864,10.0
6865,7.0
6866,3.0
6867,5.0
6868,5.0
6869,24.0
6870,10.0
6871,8.0
6872,8.0
6873,7.0
6874,6.0
6875,6.0
6876,8.0
6877,4.0
6878,8.0
6879,15.0
6880,4.0
6881,11.0
6882,21.0
6883,11.0
6884,6.0
6885,5.0
6886,7.0
6887,7.0
6888,15.0
6889,4.0
6890,7.0
6891,7.0
6892,7.0
6893,3.0
6894,43.0
6895,16.0
6896,5.0
6897,26.0
6898,11.0
6899,7.0
6900,12.0
6901,10.0
6902,16.0
6903,14.0
6904,31.0
6905,18.0
6906,15.0
6907,14.0
6908,8.0
6909,14.0
6910,6.0
6911,5.0
6912,1.0
6913,12.0
6914,6.0
6915,5.0
6916,10.0
6917,4.0
6918,6.0
6919,5.0
6920,13.0
6921,12.0
6922,6.0
6923,19.0
6924,3.0
6925,4.0
6926,1.0
6927,8.0
6928,10.0
6929,6.0
6930,13.0
6931,13.0
6932,14.0
6933,15.0
6934,10.0
6935,3.0
6936,15.0
6937,20.0
6938,5.0
6939,9.0
6940,24.0
6941,19.0
6942,13.0
6943,9.0
6944,2.0
6945,3.0
6946,6.0
6947,3.0
6948,4.0
6949,12.0
6950,22.0
6951,4.0
6952,12.0
6953,12.0
6954,6.0
6955,4.0
6956,5.0
6957,4.0
6958,5.0
6959,5.0
6960,4.0
6961,6.0
6962,29.0
6963,5.0
6964,8.0
6965,9.0
6966,6.0
6967,7.0
6968,10.0
6969,7.0
6970,8.0
6971,6.0
6972,12.0
6973,12.0
6974,5.0
6975,3.0
6976,2.0
6977,11.0
6978,7.0
6979,9.0
6980,4.0
6981,10.0
6982,11.0
6983,13.0
6984,5.0
6985,5.0
6986,4.0
6987,7.0
6988,10.0
6989,11.0
6990,2.0
6991,12.0
6992,10.0
6993,13.0
6994,7.0
6995,5.0
6996,3.0
6997,10.0
6998,13.0
6999,4.0
7000,8.0
7001,7.0
7002,35.0
7003,8.0
7004,5.0
7005,16.0
7006,18.0
7007,11.0
7008,2.0
7009,18.0
7010,5.0
7011,7.0
7012,5.0
7013,13.0
7014,11.0
7015,12.0
7016,11.0
7017,24.0
7018,7.0
7019,8.0
7020,3.0
7021,6.0
7022,3.0
7023,10.0
7024,8.0
7025,11.0
7026,9.0
7027,3.0
7028,4.0
7029,8.0
7030,8.0
7031,6.0
7032,2.0
7033,30.0
7034,22.0
7035,20.0
7036,8.0
7037,6.0
7038,4.0
7039,4.0
7040,13.0
7041,6.0
7042,3.0
7043,4.0
7044,4.0
7045,7.0
7046,11.0
7047,26.0
7048,15.0
7049,10.0
7050,12.0
7051,17.0
7052,8.0
7053,10.0
7054,9.0
7055,7.0
7056,14.0
7057,8.0
7058,11.0
7059,12.0
7060,11.0
7061,8.0
7062,13.0
7063,10.0
7064,20.0
7065,26.0
7066,15.0
7067,10.0
7068,37.0
7069,5.0
7070,12.0
7071,6.0
7072,12.0
7073,11.0
7074,17.0
7075,8.0
7076,9.0
7077,7.0
7078,13.0
7079,9.0
7080,9.0
7081,20.0
7082,4.0
7083,12.0
7084,4.0
7085,5.0
7086,10.0
7087,12.0
7088,11.0
7089,7.0
7090,13.0
7091,47.0
7092,14.0
7093,16.0
7094,12.0
7095,9.0
7096,10.0
7097,14.0
7098,13.0
7099,6.0
7100,8.0
7101,7.0
7102,16.0
7103,27.0
7104,12.0
7105,8.0
7106,20.0
7107,6.0
7108,5.0
7109,2.0
7110,8.0
7111,5.0
7112,4.0
7113,14.0
7114,10.0
7115,6.0
7116,7.0
7117,3.0
7118,10.0
7119,14.0
7120,5.0
7121,7.0
7122,2.0
7123,2.0
7124,2.0
7125,5.0
7126,6.0
7127,3.0
7128,3.0
7129,23.0
7130,16.0
7131,17.0
7132,4.0
7133,11.0
7134,7.0
7135,10.0
7136,29.0
7137,3.0
7138,9.0
7139,13.0
7140,6.0
7141,11.0
7142,3.0
7143,2.0
7144,6.0
7145,5.0
7146,10.0
7147,7.0
7148,7.0
7149,6.0
7150,6.0
7151,10.0
7152,1.0
7153,14.0
7154,19.0
7155,6.0
7156,10.0
7157,9.0
7158,9.0
7159,2.0
7160,14.0
7161,6.0
7162,2.0
7163,13.0
7164,6.0
7165,3.0
7166,23.0
7167,8.0
7168,11.0
7169,10.0
7170,25.0
7171,9.0
7172,24.0
7173,7.0
7174,44.0
7175,6.0
7176,11.0
7177,11.0
7178,3.0
7179,12.0
7180,6.0
7181,5.0
7182,11.0
7183,11.0
7184,9.0
7185,10.0
7186,14.0
7187,8.0
7188,24.0
7189,12.0
7190,14.0
7191,5.0
7192,88.0
7193,8.0
7194,12.0
7195,3.0
7196,7.0
7197,1.0
7198,3.0
7199,5.0
7200,5.0
7201,8.0
7202,10.0
7203,15.0
7204,16.0
7205,10.0
7206,5.0
7207,7.0
7208,11.0
7209,3.0
7210,7.0
7211,3.0
7212,8.0
7213,7.0
7214,6.0
7215,6.0
7216,13.0
7217,9.0
7218,5.0
7219,5.0
7220,19.0
7221,5.0
7222,16.0
7223,8.0
7224,11.0
7225,8.0
7226,11.0
7227,12.0
7228,5.0
7229,17.0
7230,6.0
7231,12.0
7232,14.0
7233,12.0
7234,8.0
7235,7.0
7236,7.0
7237,3.0
7238,16.0
7239,6.0
7240,3.0
7241,16.0
7242,3.0
7243,14.0
7244,6.0
7245,3.0
7246,9.0
7247,10.0
7248,8.0
7249,9.0
7250,4.0
7251,13.0
7252,3.0
7253,14.0
7254,13.0
7255,9.0
7256,12.0
7257,4.0
7258,7.0
7259,5.0
7260,15.0
7261,12.0
7262,10.0
7263,13.0
7264,6.0
7265,4.0
7266,16.0
7267,8.0
7268,9.0
7269,7.0
7270,7.0
7271,12.0
7272,35.0
7273,10.0
7274,13.0
7275,11.0
7276,8.0
7277,4.0
7278,13.0
7279,19.0
7280,12.0
7281,17.0
7282,14.0
7283,15.0
7284,18.0
7285,7.0
7286,14.0
7287,5.0
7288,8.0
7289,17.0
7290,6.0
7291,14.0
7292,5.0
7293,25.0
7294,11.0
7295,13.0
7296,8.0
7297,10.0
7298,4.0
7299,12.0
7300,4.0
7301,13.0
7302,2.0
7303,7.0
7304,2.0
7305,7.0
7306,15.0
7307,10.0
7308,10.0
7309,9.0
7310,6.0
7311,12.0
7312,4.0
7313,16.0
7314,3.0
7315,7.0
7316,12.0
7317,12.0
7318,13.0
7319,17.0
7320,8.0
7321,15.0
7322,15.0
7323,12.0
7324,20.0
7325,6.0
7326,33.0
7327,11.0
7328,11.0
7329,15.0
7330,12.0
7331,10.0
7332,9.0
7333,5.0
7334,12.0
7335,11.0
7336,8.0
7337,10.0
7338,9.0
7339,7.0
7340,1.0
7341,27.0
7342,3.0
7343,9.0
7344,8.0
7345,14.0
7346,10.0
7347,11.0
7348,5.0
7349,22.0
7350,10.0
7351,13.0
7352,3.0
7353,5.0
7354,7.0
7355,17.0
7356,22.0
7357,7.0
7358,5.0
7359,6.0
7360,4.0
7361,25.0
7362,6.0
7363,26.0
7364,4.0
7365,12.0
7366,19.0
7367,12.0
7368,12.0
7369,6.0
7370,12.0
7371,9.0
7372,5.0
7373,14.0
7374,5.0
7375,3.0
7376,12.0
7377,4.0
7378,22.0
7379,6.0
7380,5.0
7381,5.0
7382,9.0
7383,3.0
7384,5.0
7385,5.0
7386,7.0
7387,19.0
7388,19.0
7389,4.0
7390,10.0
7391,15.0
7392,2.0
7393,13.0
7394,6.0
7395,19.0
7396,4.0
7397,5.0
7398,7.0
7399,7.0
7400,2.0
7401,8.0
7402,3.0
7403,7.0
7404,4.0
7405,3.0
7406,10.0
7407,8.0
7408,28.0
7409,4.0
7410,11.0
7411,12.0
7412,3.0
7413,8.0
7414,4.0
7415,20.0
7416,12.0
7417,7.0
7418,6.0
7419,3.0
7420,16.0
7421,9.0
7422,10.0
7423,21.0
7424,25.0
7425,24.0
7426,4.0
7427,9.0
7428,8.0
7429,4.0
7430,7.0
7431,4.0
7432,7.0
7433,9.0
7434,7.0
7435,2.0
7436,12.0
7437,6.0
7438,8.0
7439,22.0
7440,16.0
7441,23.0
7442,5.0
7443,9.0
7444,8.0
7445,9.0
7446,3.0
7447,6.0
7448,24.0
7449,17.0
7450,5.0
7451,6.0
7452,10.0
7453,13.0
7454,10.0
7455,5.0
7456,12.0
7457,15.0
7458,23.0
7459,4.0
7460,6.0
7461,11.0
7462,2.0
7463,6.0
7464,1.0
7465,6.0
7466,8.0
7467,5.0
7468,10.0
7469,7.0
7470,4.0
7471,10.0
7472,20.0
7473,5.0
7474,5.0
7475,17.0
7476,22.0
7477,16.0
7478,9.0
7479,8.0
7480,12.0
7481,8.0
7482,8.0
7483,12.0
7484,18.0
7485,8.0
7486,15.0
7487,5.0
7488,10.0
7489,14.0
7490,25.0
7491,24.0
7492,7.0
7493,10.0
7494,11.0
7495,4.0
7496,8.0
7497,9.0
7498,17.0
7499,7.0
7500,10.0
7501,7.0
7502,10.0
7503,7.0
7504,14.0
7505,8.0
7506,6.0
7507,4.0
7508,4.0
7509,7.0
7510,12.0
7511,7.0
7512,7.0
7513,20.0
7514,20.0
7515,3.0
7516,15.0
7517,5.0
7518,5.0
7519,11.0
7520,5.0
7521,5.0
7522,5.0
7523,10.0
7524,2.0
7525,20.0
7526,11.0
7527,16.0
7528,9.0
7529,5.0
7530,9.0
7531,17.0
7532,19.0
7533,15.0
7534,6.0
7535,5.0
7536,10.0
7537,11.0
7538,15.0
7539,3.0
7540,9.0
7541,5.0
7542,7.0
7543,1.0
7544,4.0
7545,5.0
7546,1.0
7547,5.0
7548,7.0
7549,6.0
7550,10.0
7551,12.0
7552,4.0
7553,5.0
7554,5.0
7555,5.0
7556,4.0
7557,13.0
7558,7.0
7559,14.0
7560,8.0
7561,8.0
7562,9.0
7563,11.0
7564,3.0
7565,3.0
7566,5.0
7567,4.0
7568,3.0
7569,7.0
7570,7.0
7571,6.0
7572,6.0
7573,7.0
7574,18.0
7575,9.0
7576,6.0
7577,7.0
7578,7.0
7579,11.0
7580,12.0
7581,6.0
7582,5.0
7583,2.0
7584,5.0
7585,8.0
7586,4.0
7587,4.0
7588,6.0
7589,6.0
7590,8.0
7591,5.0
7592,5.0
7593,3.0
7594,12.0
7595,9.0
7596,11.0
7597,16.0
7598,33.0
7599,5.0
7600,3.0
7601,2.0
7602,2.0
7603,18.0
7604,7.0
7605,2.0
7606,7.0
7607,4.0
7608,10.0
7609,14.0
7610,2.0
7611,2.0
7612,13.0
7613,5.0
7614,6.0
7615,2.0
7616,7.0
7617,22.0
7618,2.0
7619,12.0
7620,6.0
7621,3.0
7622,14.0
7623,9.0
7624,10.0
7625,23.0
7626,7.0
7627,14.0
7628,13.0
7629,13.0
7630,17.0
7631,16.0
7632,13.0
7633,5.0
7634,22.0
7635,6.0
7636,8.0
7637,16.0
7638,9.0
7639,6.0
7640,22.0
7641,5.0
7642,15.0
7643,2.0
7644,7.0
7645,7.0
7646,9.0
7647,17.0
7648,15.0
7649,17.0
7650,11.0
7651,7.0
7652,10.0
7653,18.0
7654,22.0
7655,9.0
7656,6.0
7657,12.0
7658,4.0
7659,12.0
7660,6.0
7661,7.0
7662,10.0
7663,6.0
7664,11.0
7665,10.0
7666,7.0
7667,11.0
7668,9.0
7669,3.0
7670,9.0
7671,2.0
7672,15.0
7673,4.0
7674,7.0
7675,5.0
7676,3.0
7677,6.0
7678,3.0
7679,15.0
7680,15.0
7681,10.0
7682,7.0
7683,3.0
7684,10.0
7685,2.0
7686,3.0
7687,14.0
7688,1.0
7689,6.0
7690,6.0
7691,10.0
7692,8.0
7693,7.0
7694,6.0
7695,6.0
7696,4.0
7697,6.0
7698,1.0
7699,2.0
7700,22.0
7701,24.0
7702,8.0
7703,5.0
7704,3.0
7705,7.0
7706,4.0
7707,8.0
7708,4.0
7709,3.0
7710,7.0
7711,30.0
7712,3.0
7713,7.0
7714,17.0
7715,7.0
7716,8.0
7717,13.0
7718,8.0
7719,5.0
7720,23.0
7721,13.0
7722,9.0
7723,4.0
7724,5.0
7725,8.0
7726,11.0
7727,7.0
7728,13.0
7729,10.0
7730,8.0
7731,15.0
7732,16.0
7733,3.0
7734,16.0
7735,8.0
7736,12.0
7737,3.0
7738,10.0
7739,8.0
7740,16.0
7741,14.0
7742,18.0
7743,23.0
7744,11.0
7745,8.0
7746,6.0
7747,28.0
7748,14.0
7749,5.0
7750,13.0
7751,5.0
7752,10.0
7753,5.0
7754,11.0
7755,30.0
7756,19.0
7757,22.0
7758,11.0
7759,5.0
7760,20.0
7761,4.0
7762,11.0
7763,7.0
7764,7.0
7765,16.0
7766,8.0
7767,13.0
7768,7.0
7769,6.0
7770,5.0
7771,10.0
7772,6.0
7773,13.0
7774,11.0
7775,10.0
7776,16.0
7777,8.0
7778,4.0
7779,8.0
7780,3.0
7781,6.0
7782,20.0
7783,3.0
7784,6.0
7785,8.0
7786,11.0
7787,7.0
7788,12.0
7789,6.0
7790,4.0
7791,12.0
7792,11.0
7793,3.0
7794,29.0
7795,9.0
7796,9.0
7797,6.0
7798,7.0
7799,5.0
7800,12.0
7801,9.0
7802,13.0
7803,4.0
7804,6.0
7805,11.0
7806,10.0
7807,8.0
7808,9.0
7809,8.0
7810,14.0
7811,6.0
7812,6.0
7813,10.0
7814,7.0
7815,6.0
7816,14.0
7817,4.0
7818,13.0
7819,9.0
7820,7.0
7821,4.0
7822,7.0
7823,3.0
7824,7.0
7825,10.0
7826,16.0
7827,5.0
7828,2.0
7829,2.0
7830,14.0
7831,11.0
7832,3.0
7833,8.0
7834,3.0
7835,7.0
7836,19.0
7837,6.0
7838,12.0
7839,10.0
7840,10.0
7841,10.0
7842,5.0
7843,5.0
7844,4.0
7845,28.0
7846,3.0
7847,6.0
7848,11.0
7849,13.0
7850,5.0
7851,14.0
7852,16.0
7853,3.0
7854,21.0
7855,13.0
7856,17.0
7857,7.0
7858,3.0
7859,7.0
7860,6.0
7861,8.0
7862,6.0
7863,7.0
7864,12.0
7865,5.0
7866,7.0
7867,2.0
7868,10.0
7869,5.0
7870,10.0
7871,11.0
7872,8.0
7873,8.0
7874,5.0
7875,3.0
7876,17.0
7877,5.0
7878,20.0
7879,6.0
7880,6.0
7881,11.0
7882,6.0
7883,9.0
7884,5.0
7885,8.0
7886,3.0
7887,12.0
7888,11.0
7889,11.0
7890,8.0
7891,8.0
7892,6.0
7893,4.0
7894,9.0
7895,6.0
7896,12.0
7897,14.0
7898,12.0
7899,3.0
7900,2.0
7901,4.0
7902,7.0
7903,12.0
7904,11.0
7905,10.0
7906,6.0
7907,10.0
7908,7.0
7909,9.0
7910,4.0
7911,11.0
7912,5.0
7913,11.0
7914,7.0
7915,19.0
7916,4.0
7917,23.0
7918,7.0
7919,6.0
7920,17.0
7921,11.0
7922,4.0
7923,16.0
7924,10.0
7925,7.0
7926,4.0
7927,12.0
7928,6.0
7929,10.0
7930,10.0
7931,7.0
7932,8.0
7933,12.0
7934,6.0
7935,15.0
7936,10.0
7937,8.0
7938,6.0
7939,6.0
7940,28.0
7941,4.0
7942,16.0
7943,29.0
7944,16.0
7945,10.0
7946,11.0
7947,10.0
7948,12.0
7949,5.0
7950,4.0
7951,9.0
7952,11.0
7953,16.0
7954,4.0
7955,9.0
7956,11.0
7957,11.0
7958,9.0
7959,11.0
7960,9.0
7961,13.0
7962,8.0
7963,6.0
7964,3.0
7965,9.0
7966,6.0
7967,7.0
7968,3.0
7969,1.0
7970,4.0
7971,9.0
7972,5.0
7973,4.0
7974,3.0
7975,18.0
7976,10.0
7977,14.0
7978,3.0
7979,3.0
7980,9.0
7981,8.0
7982,11.0
7983,7.0
7984,5.0
7985,10.0
7986,16.0
7987,16.0
7988,2.0
7989,16.0
7990,7.0
7991,4.0
7992,13.0
7993,9.0
7994,7.0
7995,7.0
7996,8.0
7997,4.0
7998,18.0
7999,8.0
8000,16.0
8001,10.0
8002,19.0
8003,4.0
8004,9.0
8005,10.0
8006,2.0
8007,17.0
8008,9.0
8009,7.0
8010,12.0
8011,38.0
8012,12.0
8013,3.0
8014,11.0
8015,12.0
8016,5.0
8017,5.0
8018,4.0
8019,17.0
8020,5.0
8021,8.0
8022,15.0
8023,6.0
8024,5.0
8025,24.0
8026,6.0
8027,15.0
8028,8.0
8029,7.0
8030,7.0
8031,2.0
8032,10.0
8033,16.0
8034,5.0
8035,9.0
8036,7.0
8037,4.0
8038,6.0
8039,5.0
8040,8.0
8041,7.0
8042,2.0
8043,8.0
8044,14.0
8045,18.0
8046,7.0
8047,4.0
8048,13.0
8049,11.0
8050,14.0
8051,6.0
8052,11.0
8053,15.0
8054,6.0
8055,14.0
8056,13.0
8057,8.0
8058,9.0
8059,18.0
8060,8.0
8061,5.0
8062,16.0
8063,3.0
8064,17.0
8065,12.0
8066,5.0
8067,4.0
8068,10.0
8069,9.0
8070,12.0
8071,7.0
8072,3.0
8073,10.0
8074,4.0
8075,5.0
8076,9.0
8077,20.0
8078,17.0
8079,10.0
8080,4.0
8081,4.0
8082,5.0
8083,11.0
8084,4.0
8085,7.0
8086,3.0
8087,10.0
8088,5.0
8089,11.0
8090,4.0
8091,9.0
8092,17.0
8093,11.0
8094,9.0
8095,19.0
8096,8.0
8097,7.0
8098,8.0
8099,12.0
8100,12.0
8101,11.0
8102,7.0
8103,7.0
8104,7.0
8105,13.0
8106,15.0
8107,10.0
8108,15.0
8109,17.0
8110,16.0
8111,6.0
8112,13.0
8113,3.0
8114,8.0
8115,7.0
8116,7.0
8117,12.0
8118,13.0
8119,13.0
8120,7.0
8121,4.0
8122,10.0
8123,13.0
8124,5.0
8125,70.0
8126,12.0
8127,6.0
8128,11.0
8129,5.0
8130,11.0
8131,14.0
8132,4.0
8133,18.0
8134,7.0
8135,10.0
8136,7.0
8137,7.0
8138,8.0
8139,4.0
8140,9.0
8141,3.0
8142,16.0
8143,7.0
8144,2.0
8145,3.0
8146,9.0
8147,9.0
8148,9.0
8149,11.0
8150,5.0
8151,9.0
8152,17.0
8153,2.0
8154,6.0
8155,11.0
8156,17.0
8157,6.0
8158,9.0
8159,7.0
8160,4.0
8161,8.0
8162,5.0
8163,1.0
8164,10.0
8165,12.0
8166,5.0
8167,6.0
8168,11.0
8169,21.0
8170,4.0
8171,7.0
8172,9.0
8173,7.0
8174,6.0
8175,2.0
8176,15.0
8177,3.0
8178,9.0
8179,8.0
8180,6.0
8181,16.0
8182,15.0
8183,11.0
8184,5.0
8185,3.0
8186,20.0
8187,5.0
8188,5.0
8189,8.0
8190,8.0
8191,11.0
8192,14.0
8193,8.0
8194,5.0
8195,5.0
8196,8.0
8197,8.0
8198,5.0
8199,10.0
8200,4.0
8201,8.0
8202,15.0
8203,3.0
8204,10.0
8205,11.0
8206,10.0
8207,15.0
8208,14.0
8209,5.0
8210,6.0
8211,9.0
8212,4.0
8213,5.0
8214,11.0
8215,11.0
8216,4.0
8217,19.0
8218,11.0
8219,21.0
8220,24.0
8221,10.0
8222,13.0
8223,3.0
8224,9.0
8225,17.0
8226,8.0
8227,3.0
8228,3.0
8229,9.0
8230,2.0
8231,2.0
8232,4.0
8233,5.0
8234,10.0
8235,14.0
8236,6.0
8237,8.0
8238,22.0
8239,4.0
8240,9.0
8241,7.0
8242,4.0
8243,6.0
8244,4.0
8245,1.0
8246,7.0
8247,3.0
8248,4.0
8249,8.0
8250,5.0
8251,4.0
8252,11.0
8253,9.0
8254,5.0
8255,16.0
8256,1.0
8257,12.0
8258,2.0
8259,4.0
8260,7.0
8261,11.0
8262,6.0
8263,6.0
8264,12.0
8265,19.0
8266,10.0
8267,15.0
8268,6.0
8269,8.0
8270,10.0
8271,9.0
8272,8.0
8273,7.0
8274,5.0
8275,3.0
8276,4.0
8277,8.0
8278,5.0
8279,5.0
8280,11.0
8281,10.0
8282,4.0
8283,13.0
8284,4.0
8285,5.0
8286,9.0
8287,14.0
8288,4.0
8289,8.0
8290,18.0
8291,14.0
8292,9.0
8293,8.0
8294,5.0
8295,4.0
8296,6.0
8297,6.0
8298,13.0
8299,4.0
8300,5.0
8301,5.0
8302,13.0
8303,9.0
8304,21.0
8305,4.0
8306,16.0
8307,4.0
8308,5.0
8309,11.0
8310,9.0
8311,2.0
8312,2.0
8313,2.0
8314,9.0
8315,6.0
8316,7.0
8317,9.0
8318,4.0
8319,20.0
8320,10.0
8321,10.0
8322,5.0
8323,8.0
8324,5.0
8325,9.0
8326,7.0
8327,14.0
8328,8.0
8329,7.0
8330,11.0
8331,10.0
8332,15.0
8333,7.0
8334,14.0
8335,15.0
8336,6.0
8337,4.0
8338,15.0
8339,4.0
8340,11.0
8341,13.0
8342,12.0
8343,5.0
8344,18.0
8345,13.0
8346,8.0
8347,8.0
8348,9.0
8349,12.0
8350,13.0
8351,14.0
8352,11.0
8353,4.0
8354,13.0
8355,7.0
8356,5.0
8357,13.0
8358,4.0
8359,6.0
8360,5.0
8361,10.0
8362,8.0
8363,2.0
8364,17.0
8365,18.0
8366,18.0
8367,3.0
8368,5.0
8369,15.0
8370,13.0
8371,21.0
8372,12.0
8373,9.0
8374,15.0
8375,7.0
8376,6.0
8377,14.0
8378,14.0
8379,16.0
8380,3.0
8381,6.0
8382,3.0
8383,16.0
8384,3.0
8385,6.0
8386,9.0
8387,20.0
8388,14.0
8389,5.0
8390,9.0
8391,6.0
8392,9.0
8393,9.0
8394,6.0
8395,11.0
8396,3.0
8397,15.0
8398,7.0
8399,7.0
8400,6.0
8401,7.0
8402,7.0
8403,14.0
8404,8.0
8405,13.0
8406,12.0
8407,2.0
8408,9.0
8409,15.0
8410,26.0
8411,10.0
8412,10.0
8413,8.0
8414,4.0
8415,2.0
8416,6.0
8417,1.0
8418,3.0
8419,3.0
8420,15.0
8421,10.0
8422,12.0
8423,8.0
8424,7.0
8425,6.0
8426,6.0
8427,18.0
8428,5.0
8429,5.0
8430,7.0
8431,5.0
8432,14.0
8433,19.0
8434,13.0
8435,9.0
8436,8.0
8437,7.0
8438,6.0
8439,7.0
8440,11.0
8441,7.0
8442,4.0
8443,4.0
8444,15.0
8445,24.0
8446,9.0
8447,9.0
8448,16.0
8449,11.0
8450,18.0
8451,11.0
8452,16.0
8453,10.0
8454,19.0
8455,6.0
8456,9.0
8457,9.0
8458,12.0
8459,13.0
8460,10.0
8461,8.0
8462,3.0
8463,10.0
8464,3.0
8465,4.0
8466,10.0
8467,5.0
8468,11.0
8469,16.0
8470,15.0
8471,31.0
8472,15.0
8473,13.0
8474,2.0
8475,7.0
8476,2.0
8477,19.0
8478,6.0
8479,6.0
8480,17.0
8481,13.0
8482,8.0
8483,6.0
8484,16.0
8485,7.0
8486,7.0
8487,11.0
8488,7.0
8489,5.0
8490,7.0
8491,5.0
8492,11.0
8493,20.0
8494,5.0
8495,7.0
8496,6.0
8497,7.0
8498,9.0
8499,3.0
8500,17.0
8501,9.0
8502,12.0
8503,12.0
8504,13.0
8505,24.0
8506,14.0
8507,7.0
8508,9.0
8509,15.0
8510,10.0
8511,8.0
8512,11.0
8513,4.0
8514,14.0
8515,17.0
8516,7.0
8517,3.0
8518,14.0
8519,5.0
8520,7.0
8521,21.0
8522,7.0
8523,8.0
8524,8.0
8525,10.0
8526,6.0
8527,15.0
8528,9.0
8529,6.0
8530,6.0
8531,8.0
8532,15.0
8533,8.0
8534,7.0
8535,16.0
8536,7.0
8537,4.0
8538,11.0
8539,7.0
8540,9.0
8541,9.0
8542,10.0
8543,7.0
8544,6.0
8545,10.0
8546,16.0
8547,9.0
8548,7.0
8549,9.0
8550,6.0
8551,11.0
8552,7.0
8553,8.0
8554,4.0
8555,4.0
8556,5.0
8557,3.0
8558,10.0
8559,11.0
8560,10.0
8561,2.0
8562,5.0
8563,8.0
8564,7.0
8565,13.0
8566,2.0
8567,4.0
8568,4.0
8569,4.0
8570,9.0
8571,5.0
8572,11.0
8573,13.0
8574,9.0
8575,7.0
8576,15.0
8577,5.0
8578,6.0
8579,5.0
8580,2.0
8581,3.0
8582,9.0
8583,8.0
8584,9.0
8585,3.0
8586,4.0
8587,6.0
8588,13.0
8589,7.0
8590,7.0
8591,8.0
8592,8.0
8593,13.0
8594,6.0
8595,10.0
8596,4.0
8597,25.0
8598,3.0
8599,12.0
8600,7.0
8601,3.0
8602,12.0
8603,4.0
8604,7.0
8605,2.0
8606,5.0
8607,9.0
8608,4.0
8609,5.0
8610,7.0
8611,2.0
8612,5.0
8613,9.0
8614,5.0
8615,16.0
8616,12.0
8617,10.0
8618,4.0
8619,6.0
8620,2.0
8621,5.0
8622,4.0
8623,6.0
8624,8.0
8625,5.0
8626,12.0
8627,5.0
8628,9.0
8629,7.0
8630,5.0
8631,5.0
8632,8.0
8633,15.0
8634,15.0
8635,1.0
8636,12.0
8637,7.0
8638,13.0
8639,8.0
8640,9.0
8641,9.0
8642,5.0
8643,11.0
8644,7.0
8645,8.0
8646,7.0
8647,6.0
8648,4.0
8649,11.0
8650,3.0
8651,4.0
8652,4.0
8653,5.0
8654,7.0
8655,4.0
8656,3.0
8657,5.0
8658,6.0
8659,8.0
8660,11.0
8661,7.0
8662,6.0
8663,5.0
8664,3.0
8665,5.0
8666,9.0
8667,5.0
8668,8.0
8669,11.0
8670,6.0
8671,13.0
8672,12.0
8673,5.0
8674,23.0
8675,7.0
8676,10.0
8677,5.0
8678,11.0
8679,4.0
8680,9.0
8681,10.0
8682,12.0
8683,7.0
8684,4.0
8685,5.0
8686,6.0
8687,6.0
8688,12.0
8689,13.0
8690,5.0
8691,7.0
8692,8.0
8693,23.0
8694,5.0
8695,5.0
8696,6.0
8697,9.0
8698,5.0
8699,6.0
8700,9.0
8701,10.0
8702,9.0
8703,5.0
8704,8.0
8705,9.0
8706,7.0
8707,5.0
8708,4.0
8709,5.0
8710,4.0
8711,4.0
8712,4.0
8713,3.0
8714,9.0
8715,6.0
8716,2.0
8717,6.0
8718,9.0
8719,9.0
8720,8.0
8721,9.0
8722,7.0
8723,13.0
8724,6.0
8725,11.0
8726,7.0
8727,4.0
8728,7.0
8729,10.0
8730,9.0
8731,11.0
8732,2.0
8733,19.0
8734,6.0
8735,17.0
8736,4.0
8737,3.0
8738,7.0
8739,5.0
8740,5.0
8741,24.0
8742,11.0
8743,16.0
8744,5.0
8745,7.0
8746,5.0
8747,3.0
8748,6.0
8749,4.0
8750,3.0
8751,9.0
8752,7.0
8753,6.0
8754,5.0
8755,8.0
8756,3.0
8757,4.0
8758,5.0
8759,6.0
8760,11.0
8761,4.0
8762,19.0
8763,55.0
8764,5.0
8765,5.0
8766,8.0
8767,7.0
8768,16.0
8769,6.0
8770,8.0
8771,2.0
8772,2.0
8773,28.0
8774,10.0
8775,6.0
8776,2.0
8777,6.0
8778,12.0
8779,6.0
